name,display_name,types,image,generation,generation_label,total,hp,attack,defense,sp_atk,sp_def,speed,level,evolution_paths
bulbasaur,Bulbasaur,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/bulbasaur.jpg,generation-i,Generation I,318.0,45.0,49.0,49.0,,,45.0,(Level 16),"[{""evolves_to"": ""Ivysaur"", ""condition"": ""(Level 16)""}]"
ivysaur,Ivysaur,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/ivysaur.jpg,generation-i,Generation I,405.0,60.0,62.0,63.0,,,60.0,(Level 32),"[{""evolves_to"": ""Venusaur"", ""condition"": ""(Level 32)""}]"
venusaur,Venusaur,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/venusaur.jpg,generation-i,Generation I,525.0,80.0,82.0,83.0,,,80.0,,[]
charmander,Charmander,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/charmander.jpg,generation-i,Generation I,309.0,39.0,52.0,43.0,,,65.0,(Level 16),"[{""evolves_to"": ""Charmeleon"", ""condition"": ""(Level 16)""}]"
charmeleon,Charmeleon,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/charmeleon.jpg,generation-i,Generation I,405.0,58.0,64.0,58.0,,,80.0,(Level 36),"[{""evolves_to"": ""Charizard"", ""condition"": ""(Level 36)""}]"
charizard,Charizard,"[""Fire"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/charizard.jpg,generation-i,Generation I,534.0,78.0,84.0,78.0,,,100.0,,[]
squirtle,Squirtle,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/squirtle.jpg,generation-i,Generation I,314.0,44.0,48.0,65.0,,,43.0,(Level 16),"[{""evolves_to"": ""Wartortle"", ""condition"": ""(Level 16)""}]"
wartortle,Wartortle,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/wartortle.jpg,generation-i,Generation I,405.0,59.0,63.0,80.0,,,58.0,(Level 36),"[{""evolves_to"": ""Blastoise"", ""condition"": ""(Level 36)""}]"
blastoise,Blastoise,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/blastoise.jpg,generation-i,Generation I,530.0,79.0,83.0,100.0,,,78.0,,[]
caterpie,Caterpie,"[""Bug""]",https://img.pokemondb.net/sprites/home/normal/2x/caterpie.jpg,generation-i,Generation I,195.0,45.0,30.0,35.0,,,45.0,(Level 7),"[{""evolves_to"": ""Metapod"", ""condition"": ""(Level 7)""}]"
metapod,Metapod,"[""Bug""]",https://img.pokemondb.net/sprites/home/normal/2x/metapod.jpg,generation-i,Generation I,205.0,50.0,20.0,55.0,,,30.0,(Level 10),"[{""evolves_to"": ""Butterfree"", ""condition"": ""(Level 10)""}]"
butterfree,Butterfree,"[""Bug"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/butterfree.jpg,generation-i,Generation I,395.0,60.0,45.0,50.0,,,70.0,,[]
weedle,Weedle,"[""Bug"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/weedle.jpg,generation-i,Generation I,195.0,40.0,35.0,30.0,,,50.0,(Level 7),"[{""evolves_to"": ""Kakuna"", ""condition"": ""(Level 7)""}]"
kakuna,Kakuna,"[""Bug"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/kakuna.jpg,generation-i,Generation I,205.0,45.0,25.0,50.0,,,35.0,(Level 10),"[{""evolves_to"": ""Beedrill"", ""condition"": ""(Level 10)""}]"
beedrill,Beedrill,"[""Bug"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/beedrill.jpg,generation-i,Generation I,395.0,65.0,90.0,40.0,,,75.0,,[]
pidgey,Pidgey,"[""Normal"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/pidgey.jpg,generation-i,Generation I,251.0,40.0,45.0,40.0,,,56.0,(Level 18),"[{""evolves_to"": ""Pidgeotto"", ""condition"": ""(Level 18)""}]"
pidgeotto,Pidgeotto,"[""Normal"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/pidgeotto.jpg,generation-i,Generation I,349.0,63.0,60.0,55.0,,,71.0,(Level 36),"[{""evolves_to"": ""Pidgeot"", ""condition"": ""(Level 36)""}]"
pidgeot,Pidgeot,"[""Normal"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/pidgeot.jpg,generation-i,Generation I,479.0,83.0,80.0,75.0,,,101.0,,[]
rattata,Rattata,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/rattata.jpg,generation-i,Generation I,253.0,30.0,56.0,35.0,,,72.0,(Level 20),"[{""evolves_to"": ""Raticate"", ""condition"": ""(Level 20)""}]"
raticate,Raticate,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/raticate.jpg,generation-i,Generation I,413.0,55.0,81.0,60.0,,,97.0,,[]
spearow,Spearow,"[""Normal"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/spearow.jpg,generation-i,Generation I,262.0,40.0,60.0,30.0,,,70.0,(Level 20),"[{""evolves_to"": ""Fearow"", ""condition"": ""(Level 20)""}]"
fearow,Fearow,"[""Normal"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/fearow.jpg,generation-i,Generation I,442.0,65.0,90.0,65.0,,,100.0,,[]
